hcad_num,site_label,daytime_workplace_pop_5min_drive
0582970000612,Site 01 (Parkridge) - Eldridge Parkway & Westhollow Parkway (unaddressed vacant tract),11614
0410560010009,Site 02 (Westwood) - South Sam Houston Parkway West & Southwest Freeway Frontage Road (unaddressed vacant tract),20038
1041420000005,Site 03 (Braeburn) - 9651 GLENFIELD CT,8855
1243410010006,Site 04 (Westwood) - South Sam Houston Parkway West & West Bellfort Street (unaddressed vacant tract),14102
0410300000175,Site 05 (Pecan Park) - 6600 STILLWELL ST,16560
0402370000053,Site 06 (Pecan Park) - Broadway Street & La Porte Freeway (unaddressed vacant tract),6334
1142750010016,Site 07 (Houston) - South Post Oak Road & South Post Oak Road Frontage Road (unaddressed vacant tract),5288
0882600000014,Site 08 (Braeburn) - 7818 HILLCROFT ST,12597
0650090010007,Site 09 (Sunnyside) - 1023 NIAGARA ST,6524
0430390000003,Site 10 (Sunnyside) - Brookhaven Street & Cullen Boulevard (unaddressed vacant tract),10041
0292450680001,Site 11 (Pleasantville) - 8200 SIGNET ST,9790
1152170000007,Site 12 (El Dorado) - Crosby Freeway Frontage Road & East Freeway Frontage Road (unaddressed vacant tract),8780
0570050020012,Site 13 (North Shadydale) - 7608 LOCKWOOD DR,2671
0651240420709,Site 14 (Kashmere Gardens) - 5429 CAVALCADE ST,5813
1148490000001,Site 15 (Fondren Gardens) - Fondren Road & West Airport Boulevard (unaddressed vacant tract),4992
0461710000003,Site 16 (Fondren Gardens) - 12309 FONDREN RD,5193
1295900010005,Site 17 (Langwood) - Bingle Road & Northwest Freeway Frontage Road (unaddressed vacant tract),27883
0420760000039,Site 18 (Inwood) - Tomball Parkway & West Montgomery Road (unaddressed vacant tract),44
0451860000445,Site 19 (Minnetex) - 2138 VAN CLEVE ST,1229
0411010000105,Site 20 (Central Southwest Houston) - 4620 FUQUA ST,2663
